step,implicit_reward,w_delta,l_delta
1,0.0000,0.00000,0.00000
10,11.8130,-0.00025,0.00211
20,36.1742,-0.00078,0.00646
30,25.7889,-0.00145,0.00370
40,35.5104,-0.00139,0.00571
50,35.7492,-0.00068,0.00647
60,45.0232,-0.00147,0.00753
70,60.0704,-0.00065,0.01136
80,25.5403,-0.00092,0.00419
90,20.3244,-0.00084,0.00323
100,29.2385,-0.00117,0.00468
110,32.2964,-0.00143,0.00503
120,55.8009,-0.00081,0.01035
130,47.1182,-0.00105,0.00837
140,36.7985,-0.00090,0.00646
150,40.0945,-0.00043,0.00759
160,30.6454,-0.00132,0.00480
170,68.2350,-0.00267,0.01098
180,55.3668,-0.00105,0.01003
190,57.0866,-0.00111,0.01030
200,51.6931,-0.00049,0.00985
